"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
975,"2013-06-01 00:22:39","2013-06-01 00:38:54",369,"Washington Pl & 6 Ave",40.73224119,-74.00026394,151,"Cleveland Pl & Spring St",40.722103786686034,-73.99724900722504,18299,"Subscriber",1977,1
911,"2013-06-01 00:22:46","2013-06-01 00:37:57",505,"6 Ave & W 33 St",40.74901271,-73.98848395,280,"E 10 St & 5 Ave",40.73331967,-73.99510132,17211,"Customer",NULL,0
1297,"2013-06-01 00:23:10","2013-06-01 00:44:47",521,"8 Ave & W 31 St N",40.75096734871598,-73.99444207549095,495,"W 47 St & 10 Ave",40.76269882,-73.99301222,16608,"Customer",NULL,0
807,"2013-06-01 00:23:32","2013-06-01 00:36:59",503,"E 20 St & Park Ave",40.73827428,-73.98751968,503,"E 20 St & Park Ave",40.73827428,-73.98751968,19072,"Customer",NULL,0
377,"2013-06-01 00:23:38","2013-06-01 00:29:55",510,"W 51 St & 6 Ave",40.7606597,-73.98042047,437,"Macon St & Nostrand Ave",40.6809833854,-73.9500479759,18981,"Subscriber",1982,1
1462,"2013-06-01 00:24:14","2013-06-01 00:48:36",389,"Broadway & Berry St",40.71044554,-73.96525063,482,"W 15 St & 7 Ave",40.73935542,-73.99931783,19600,"Subscriber",1985,1
500,"2013-06-01 00:24:53","2013-06-01 00:33:13",492,"W 33 St & 7 Ave",40.75019995,-73.99093085,334,"W 20 St & 7 Ave",40.74238787,-73.99726235,19376,"Subscriber",1954,1
477,"2013-06-01 00:24:57","2013-06-01 00:32:54",3019,"NYCBS Depot - DEL",40.716633,-73.981933,444,"Broadway & W 24 St",40.7423543,-73.98915076,16289,"Subscriber",1963,1
1744,"2013-06-01 00:25:07","2013-06-01 00:54:11",236,"St Marks Pl & 2 Ave",40.7284186,-73.98713956,384,"Fulton St & Washington Ave",40.683048,-73.964915,15888,"Subscriber",1984,1
1671,"2013-06-01 00:26:18","2013-06-01 00:54:09",2009,"Catherine St & Monroe St",40.71117444,-73.99682619,406,"Hicks St & Montague St",40.69512845,-73.99595065,15228,"Customer",NULL,0
1638,"2013-06-01 00:26:50","2013-06-01 00:54:08",2009,"Catherine St & Monroe St",40.71117444,-73.99682619,406,"Hicks St & Montague St",40.69512845,-73.99595065,20080,"Customer",NULL,0
2461,"2013-06-01 00:28:31","2013-06-01 01:09:32",357,"E 11 St & Broadway",40.73261787,-73.99158043,342,"Columbia St & Rivington St",40.71739973,-73.98016555,14577,"Subscriber",1980,1
